iter	MultiClass
0	1.017865892
1	0.9357019897
2	0.8823138816
3	0.8324209882
4	0.7830705341
5	0.729014215
6	0.6837915511
7	0.6365769918
8	0.6054068882
9	0.5774311671
10	0.54478926
11	0.5209550718
12	0.5002339501
13	0.4725079856
14	0.4534864731
15	0.433654515
16	0.4165752799
17	0.400059047
18	0.381880908
19	0.3699272424
20	0.3600715853
21	0.3458028823
22	0.3279475488
23	0.312975528
24	0.3017232175
25	0.2898017395
26	0.2812563041
27	0.2703009873
28	0.2594073078
29	0.2521307447
30	0.2469322083
31	0.2397498633
32	0.2300009959
33	0.2206375145
34	0.2144142932
35	0.2075248476
36	0.2040747076
37	0.1976364789
38	0.1910513212
39	0.1843822638
40	0.1806848498
41	0.1774455983
42	0.1729085917
43	0.1693608604
44	0.1635124935
45	0.159775886
46	0.1558994494
47	0.1518869981
48	0.1487046446
49	0.1445963167
50	0.1407688385
51	0.1377330621
52	0.135127993
53	0.1319624942
54	0.1296978949
55	0.1270489777
56	0.1243387639
57	0.1221243316
58	0.1184448088
59	0.1164651364
60	0.1134791178
61	0.1105864895
62	0.1091405454
63	0.1072616217
64	0.1054870523
65	0.1044860396
66	0.1026533817
67	0.1006985302
68	0.09854033991
69	0.09660796443
70	0.09591610433
71	0.09429824298
72	0.09266123353
73	0.09090108273
74	0.08961184034
75	0.08850074086
76	0.0870861449
77	0.08573034087
78	0.08430343428
79	0.08250378046
80	0.08156497521
81	0.08058656552
82	0.0793019518
83	0.07757663871
84	0.07654421569
85	0.07522147187
86	0.07410000685
87	0.07326224262
88	0.07189140387
89	0.07086643881
90	0.07040441341
91	0.06891649884
92	0.06773486039
93	0.06674629577
94	0.06553674137
95	0.06471841997
96	0.06379633944
97	0.06304109282
98	0.06194594173
99	0.06082103566
100	0.05997731681
101	0.05910377675
102	0.05802338996
103	0.05711141125
104	0.05625363264
105	0.05531452752
106	0.05472833579
107	0.05403489127
108	0.05361045151
109	0.05299144825
110	0.05225747819
111	0.05210922006
112	0.05131664931
113	0.05053672885
114	0.04976951679
115	0.04896928546
116	0.04832359202
117	0.04792299388
118	0.04702216409
119	0.04648326723
120	0.04594353195
121	0.04536529534
122	0.04479366578
123	0.04404139627
124	0.04354091086
125	0.04305536745
126	0.04269948557
127	0.04207125486
128	0.04172834778
129	0.04129221572
130	0.04072988498
131	0.04022268735
132	0.03965922212
133	0.03912804467
134	0.03862730645
135	0.03809597248
136	0.03779733198
137	0.03743696691
138	0.03706816235
139	0.03676420124
140	0.03639620353
141	0.03609721073
142	0.03583187462
143	0.03541632719
144	0.03491013216
145	0.0345067363
146	0.0340903346
147	0.0338454069
148	0.03340929145
149	0.03309055993
